"x1"	"x2"	"x3"	"x4"	"x5"	"x6"	"x7"	"x8"	"xc1"	"xc2"	"xc3"	"xc4"	"xc5"	"xc6"	"xc7"	"y1"	"y2"	"y3"
-0.75	0.3668	1.2235	0.3263	2.0812	0.3153	0.6812	6.6245	3	4	3	5	5	6	3	0	0	0
-0.6101	-0.7052	0.1091	3.538	4.0115	0.5347	-3.8833	0.8578	5	1	5	5	2	6	5	1	0	0
-0.5928	0.9567	3.6754	2.7967	13.6487	0.3722	4.6078	18.2675	5	1	5	5	19	5	6	1	1	1
0.0599	0.6863	1.4907	2.6633	-0.402	0.4855	1.0846	4.8877	1	3	5	3	2	3	3	0	0	0
0.701	0.592	1.8041	3.6117	4.7461	0.2727	2.4615	6.5133	4	6	5	4	8	6	3	0	0	0
0.5241	0.2233	1.4211	0.7681	5.7125	1.809	0.9504	4.3478	4	6	1	3	7	5	2	0	0	1
-0.2477	0.6941	3.59	0.2271	9.5635	1.9834	2.0085	7.3736	3	1	4	2	12	2	2	0	0	1
-0.2086	0.3999	0.6853	3.1458	-1.1284	0.6592	1.1789	3.7873	2	6	4	5	2	6	3	0	0	0
-0.17	-0.0766	0.4753	0.852	2.3035	1.4078	-0.2136	0.0883	5	4	5	2	3	3	1	0	0	0
-0.339	-0.002	1.7428	1.3707	10.2269	0.5355	-0.2506	6.8317	6	4	1	4	11	3	1	0	0	1
-0.6153	0.0579	1.6652	2.1259	3.5038	1.5661	-0.0382	4.1929	2	4	4	3	4	6	1	0	0	0
-0.3925	-0.5434	0.5945	1.5176	4.6614	0.0315	-3.484	3.8334	5	4	3	4	4	3	4	1	0	0
-0.933	0.0801	0.5837	0.1499	-0.0447	0.9059	-0.1064	1.1605	1	6	3	3	2	4	1	0	0	0
0.1708	0.9123	2.4392	2.8455	7.844	1.5365	3.7097	5.1171	4	1	4	2	11	5	3	0	0	1
0.7526	0.5091	0.621	2.5331	0.4607	0.0304	1.2637	0.9316	2	5	4	2	3	5	2	0	0	0
0.4972	-0.0461	1.8211	2.2496	7.6626	0.4224	-0.5351	8.8432	4	6	5	5	8	6	1	0	1	1
0.8283	-0.1528	2.0752	0.8395	7.0766	1.7837	-0.0812	8.0085	3	1	3	4	7	3	1	0	1	1
0.5225	-0.4794	0.2381	1.26	1.4489	0.0541	-0.5529	1.0638	2	6	5	3	1	6	2	0	0	0
-0.7441	0.505	1.3266	1.4002	4.7557	1.9874	2.3577	5.7976	5	3	5	4	8	4	4	0	0	0
-0.9197	-0.5448	2.849	0.7175	14.5058	0.9949	-1.6804	15.2849	4	6	2	5	13	5	4	1	1	1
8e-04	-0.2726	1.3076	2.2555	7.691	0.3931	-1.2412	6.8065	5	5	5	5	8	6	2	0	0	1
-0.34	0.6166	3.9528	0.7911	1.9362	1.762	0.8402	11.0069	1	5	5	3	5	6	3	1	0	0
0.2987	-0.9639	1.9879	0.5664	7.5104	1.9592	-3.2419	4.3768	3	5	4	2	6	6	3	1	0	0
0.1713	0.2856	1.3666	3.1067	5.1168	1.7843	0.9751	6.2602	5	3	2	5	8	6	2	0	0	0
-0.6447	0.419	1.9829	2.7424	8.0248	0.1275	1.9992	7.2005	5	3	4	4	11	5	3	0	0	0
0.4014	0.6045	3.5938	0.0794	4.293	1.7486	1.2503	13.0998	2	1	2	4	8	5	4	1	0	0
-0.099	0.3092	3.6224	0.4371	14.0237	0.6319	0.8908	7.0772	4	3	4	2	15	3	2	1	1	1
-0.6342	0.5113	3.0828	0.9809	1.7134	1.0214	0.6174	7.2334	1	5	5	2	4	6	2	1	0	1
-0.4068	-0.9219	1.6977	2.3385	14.5882	1.6017	-5.0599	7.9459	6	5	5	5	11	1	5	1	1	1
-0.4543	-0.8504	1.6124	2.5317	14.1578	0.3283	-5.0657	7.7184	6	1	5	5	10	3	5	1	0	1
0.9242	-0.8919	1.7169	2.7834	10.0828	0.125	-3.3324	6.4234	4	6	1	4	8	3	4	1	0	0
0.2652	0.8574	3.6609	2.125	14.6711	0.7117	3.8703	15.1038	5	4	5	4	20	3	4	1	1	1
0.3251	0.7599	3.1218	3.9067	8.0115	0.3043	3.1773	15.9987	4	6	2	5	13	5	5	1	1	1
0.3185	0.908	2.9454	3.1927	7.1955	0.4127	3.0399	5.3225	3	5	2	2	10	6	2	0	0	1
-0.9766	0.8572	0.6159	0.7979	-1.2613	0.5473	3.1193	1.5363	3	2	1	3	3	6	3	0	0	0
-0.4743	0.3845	2.6047	0.9075	11.1241	0.8551	1.7775	12.8023	5	6	2	5	14	6	2	0	1	1
-0.1163	-0.8794	0.7063	3.5033	6.3419	1.8873	-4.6303	3.2725	5	5	3	3	4	3	3	1	0	0
-0.0626	0.82	0.466	1.7708	0.8913	0.5306	4.9121	0.4451	6	5	4	2	3	6	3	0	0	0
-0.1526	-0.6653	1.092	2.7876	5.0336	1.5525	-1.7585	3.6982	3	6	2	3	4	4	4	1	0	0
-0.9554	0.1782	0.1619	1.7834	0.0195	0.7376	0.4953	1.0856	3	3	2	3	2	4	2	0	0	0
0.2226	-0.6006	0.8738	2.4357	8.5109	0.3927	-4.4628	4.7363	6	3	1	5	6	6	4	1	0	0
-0.5454	0.4649	1.471	2.444	3.4052	0.7284	1.163	1.8642	3	3	4	2	6	2	2	0	0	0
-0.7308	0.1291	0.841	3.0019	3.766	1.5933	1.1111	4.6244	6	5	2	5	6	6	2	0	0	0
-0.563	0.5827	2.0319	2.1221	7.1954	0.9257	3.0052	10.0708	5	4	5	5	11	1	4	0	0	1
-0.1416	0.5138	3.3314	2.7509	0.7623	0.8112	0.6533	16.5162	1	3	5	5	4	3	4	1	1	0
-0.143	-0.7434	1.6108	1.6911	11.9642	0.3879	-3.7804	7.3829	5	6	3	5	9	3	4	1	1	0
-0.7321	0.5979	0.9447	1.524	2.6425	1.4624	2.8933	2.4841	5	4	3	3	6	2	3	0	0	0
0.4745	-0.5968	0.9755	3.6293	7.5917	1.7223	-2.9071	3.9875	5	5	4	4	6	6	3	1	0	0
0.0659	-0.708	1.8327	1.1454	7.3512	0.9376	-1.5108	4.7669	3	5	3	2	7	5	3	1	0	0
-0.8553	-0.0204	3.8783	2.6599	11.7886	1.9591	-0.0847	10.927	3	3	2	3	13	3	1	1	1	1
-0.8787	-0.047	0.1444	2.838	1.424	1.694	-0.8677	2.2043	5	6	2	5	1	3	1	0	0	0
-0.6018	0.5552	1.7634	2.9314	7.5266	0.8567	2.7182	3.0665	5	4	4	2	10	4	2	0	0	1
0.8678	-0.7308	0.1008	2.3397	2.4781	1.2796	-0.7283	-0.3702	1	5	3	3	2	6	3	0	0	0
-0.9219	0.4944	0.2979	2.0819	-1.7678	1.8369	1.7856	2.6148	5	6	2	5	2	3	4	0	0	0
-0.8315	-0.9125	2.0495	1.5973	9.1595	0.2433	-2.7769	8.0415	3	5	4	4	7	4	4	1	0	0
0.4539	0.2694	1.1248	1.9288	4.7474	0.6308	1.3116	3.3177	5	5	1	2	7	6	1	0	0	0
0.2387	0.8705	3.6661	0.8565	2.9828	1.6702	0.9197	4.4766	1	3	5	1	5	3	2	1	0	0
-0.7446	0.7286	3.8642	1.898	8.55	0.7123	2.0665	15.4097	3	3	5	4	12	4	4	1	1	1
-0.6276	0.4236	3.8893	2.8901	13.789	0.179	1.6753	15.4375	4	3	5	4	16	5	3	1	1	1
0.2652	-0.8313	1.9242	3.3029	9.4471	0.2175	-2.514	9.3434	3	3	5	5	7	6	5	1	0	0
-0.7839	0.2915	0.1905	3.3292	0.1961	0.1516	0.8952	1.5458	4	5	2	3	2	6	1	0	0	0
0.9009	-0.2153	1.0374	1.5878	6.7863	0.1011	-0.8214	5.2545	6	3	4	5	7	5	2	0	0	0
-0.3549	0.8771	1.8847	3.0488	-2.9715	0.4903	0.7529	9.4248	1	5	2	5	4	3	5	1	0	0
-0.5654	-0.7003	3.9484	2.3667	21.2456	1.2341	-3.3914	12.3055	5	5	5	3	21	6	3	1	1	1
-0.7604	-0.7756	3.0492	0.4926	11.6242	0.0592	-2.6082	8.7663	3	1	5	3	10	5	4	1	1	1
0.3332	-0.8469	2.2619	2.9945	8.2999	1.0635	-2.9752	4.4938	3	6	3	2	8	5	2	1	1	1
-0.6867	-0.7897	1.4419	2.0362	11.3877	0.2659	-4.084	6.6776	5	5	1	5	8	6	5	1	0	0
0.5317	-0.1164	2.2899	3.2895	10.2382	0.8197	-0.181	8.4159	4	6	5	4	10	4	1	0	1	1
0.7157	-0.3342	3.7229	3.4643	20.7048	0.6097	-2.004	14.8436	5	5	4	4	20	4	2	1	1	1
-0.2522	-0.5621	1.8056	0.3031	6.7297	1.1996	-1.3089	5.7869	3	1	2	3	7	4	3	1	0	0
-0.778	-0.7762	1.5581	0.0276	11.4136	1.4448	-4.1743	7.4876	5	3	5	5	9	5	5	1	0	0
-0.9903	-0.2453	2.418	2.2812	9.6058	1.4545	-0.9875	4.582	4	3	5	2	10	3	2	1	0	1
0.1962	0.6525	3.6316	2.1596	16.439	0.3416	3.2688	6.4509	5	3	5	2	19	6	2	0	1	1
-0.767	-0.8398	2.6323	1.4736	7.1659	1.7374	-0.7434	13.3305	1	6	5	5	4	6	5	1	1	0
0.011	0.8912	2.9073	1.1594	4.6164	1.1701	2.9172	14.8373	3	1	3	5	10	6	6	1	1	0
0.2618	0.4321	2.8216	2.6308	3.5314	0.1755	0.8892	13.9535	2	3	2	5	7	3	3	1	1	0
-0.8775	0.0913	2.0314	0.3412	10.0595	1.5798	0.8692	3.8009	5	4	5	2	11	1	1	0	1	1
0.2522	-0.3295	1.188	1.5687	3.877	1.7117	-1.4309	1.5146	3	5	4	2	5	4	2	0	0	0
0.4116	-0.3662	2.4286	3.2426	9.4987	0.751	-0.7574	12.1311	3	5	5	5	9	6	3	1	1	1
0.9995	-0.4416	2.9207	1.758	19.4351	0.0087	-2.9701	13.5845	6	5	5	5	18	5	3	1	1	1
-0.6944	0.1776	0.5856	3.3492	-0.1004	1.5021	0.5929	2.6215	2	1	3	4	2	4	1	0	0	0
0.1251	0.9042	1.5131	0.9353	3.3674	0.0667	2.2941	2.8953	3	6	2	2	6	6	3	0	0	0
-0.3122	0.43	0.6405	2.9269	1.242	1.8391	1.7582	1.8074	5	5	3	4	4	5	3	0	0	0
0.2662	-0.2795	3.0727	0.2975	10.0254	0.5946	-1.0034	9.8238	3	3	4	3	10	3	2	1	1	1
0.0597	-0.9556	0.299	3.354	2.8955	1.8064	-4.7203	1.4423	5	6	5	2	3	6	2	1	0	0
0.3177	0.1396	0.2771	1.846	0.2305	1.0042	0.7235	1.5363	2	3	5	5	1	3	1	0	0	0
0.3415	-0.9436	2.3611	0.8724	15.155	0.0428	-4.4715	7.1835	5	5	3	3	12	6	3	1	1	1
0.474	-0.952	2.3798	3.6294	6.1003	0.2133	-1.3389	9.3895	1	6	4	4	3	4	5	1	0	0
-0.6661	-0.1397	1.6935	3.4986	5.7253	0.8655	-0.7711	7.9476	3	5	3	4	6	6	1	0	0	1
0.1611	0.71	3.1482	3.7608	12.1447	0.7931	3.8887	16.0362	5	3	2	5	17	6	5	1	1	1
0.0045	-0.2527	2.6946	0.5114	8.8585	0.248	-0.553	13.3868	3	4	5	5	9	4	3	1	1	1
